"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"initial-trust-effect"
"11/02/2025 23:42:00:297 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","count turtles with [belief > 0.5] / population-size"
"133","200","6","5","small-world","false","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.4674360956435632","0"
"132","200","6","5","small-world","false","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.5571225088615541","1"
"134","200","6","5","small-world","false","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.41794150555963816","0"
"137","200","6","5","small-world","false","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.5919047338907505","1"
"135","200","6","5","small-world","false","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.41575063186526234","0"
"136","200","6","5","small-world","false","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.5597773072940493","1"
"138","200","6","5","small-world","false","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.6242621047010177","1"
"139","200","6","5","small-world","false","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.5880572574279982","1"
"140","200","6","5","small-world","false","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.5971584905128383","1"
"142","200","6","5","small-world","false","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.558715981314653","1"
"144","200","6","5","small-world","false","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.678338411455656","1"
"141","200","6","5","small-world","false","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.6183639919999648","1"
"143","200","6","5","small-world","false","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.651148639886676","1"
"145","200","6","5","small-world","false","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.6877888026616481","1"
"149","200","6","5","small-world","false","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.565797900511732","1"
"148","200","6","5","small-world","false","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.6924914543281779","1"
"147","200","6","5","small-world","false","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.6490134046964132","1"
"146","200","6","5","small-world","false","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.6130055264588785","1"
"150","200","6","5","small-world","false","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.5382119019902507","1"
