"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"heterogeneity-effect"
"11/02/2025 23:41:04:682 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","count turtles with [belief > 0.5] / population-size","ticks"
"149","200","6","5","small-world","false","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4475959818348695","0","500"
"152","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3285546347995886","0","500"
"158","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3384008582020213","0","500"
"154","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.38173301179415037","0","500"
"153","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3996884222562455","0","500"
"162","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3544335851607926","0","500"
"160","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3873844373721186","0","500"
"155","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3205823877553911","0","500"
"156","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.2737165893860259","0","500"
"157","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4242146201682426","0","500"
"166","200","6","5","small-world","false","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.29452755241193124","0","500"
"161","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.37054047607319496","0","500"
"165","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3557085616128513","0","500"
"163","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.43148229261070076","0","500"
"164","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.37230732194596927","0","500"
"168","200","6","5","small-world","false","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.35442685465504536","0","500"
"159","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.34642008476997616","0","500"
"169","200","6","5","small-world","false","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3766767433212241","0","500"
"167","200","6","5","small-world","false","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.33423262363027606","0","500"
"170","200","6","5","small-world","false","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4180159276946803","0","500"
"172","200","6","5","small-world","false","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3748842689770682","0","500"
"173","200","6","5","small-world","false","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3426184251656101","0","500"
"171","200","6","5","small-world","false","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3894031690151468","0","500"
"175","200","6","5","small-world","false","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.33536492040230415","0","500"
"185","200","6","5","small-world","false","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3180989418251098","0","500"
"176","200","6","5","small-world","false","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.376952719362329","0","500"
"174","200","6","5","small-world","false","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.37591101946525834","0","500"
"181","200","6","5","small-world","false","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3413341815395194","0","500"
"182","200","6","5","small-world","false","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3711830551212719","0","500"
"186","200","6","5","small-world","false","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.32818456185279143","0","500"
"179","200","6","5","small-world","false","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.35719354314947827","0","500"
"177","200","6","5","small-world","false","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3060400314687696","0","500"
"180","200","6","5","small-world","false","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.37531732345760227","0","500"
"187","200","6","5","small-world","false","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.39098379218532814","0","500"
"188","200","6","5","small-world","false","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.37584745701424943","0","500"
"178","200","6","5","small-world","false","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3719928589230637","0","500"
"190","200","6","5","small-world","false","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.43457652203896713","0","500"
"184","200","6","5","small-world","false","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3462935317828714","0","500"
"195","200","6","5","small-world","false","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.2937519244546643","0","500"
"193","200","6","5","small-world","false","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4014721794213619","0","500"
"191","200","6","5","small-world","false","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.35411483698980795","0","500"
"192","200","6","5","small-world","false","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.33028918736541507","0","500"
"194","200","6","5","small-world","false","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.29617219124955735","0","500"
"189","200","6","5","small-world","false","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.337733119670692","0","500"
"183","200","6","5","small-world","false","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4080943419985654","0","500"
"196","200","6","5","small-world","false","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.39208852835484037","0","500"
"198","200","6","5","small-world","false","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3325369066221669","0","500"
"197","200","6","5","small-world","false","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3903491903018002","0","500"
"201","200","6","5","small-world","false","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3294007085791007","0","500"
"199","200","6","5","small-world","false","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3405837267340795","0","500"
"203","200","6","5","small-world","false","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.37397433374703715","0","500"
"200","200","6","5","small-world","false","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3456950809049236","0","500"
"202","200","6","5","small-world","false","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.32043809211705926","0","500"
"204","200","6","5","small-world","false","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.40810338545732483","0","500"
"209","200","6","5","small-world","false","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.33615022971472386","0","500"
"210","200","6","5","small-world","false","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.36932353134386536","0","500"
