"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"full-factorial-analysis"
"11/02/2025 23:42:19:821 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","mean [belief] of turtles with [rumor-known?]","count turtles with [belief > 0.5] / population-size","variance [belief] of turtles"
"107","200","6","5","random","true","0.3","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.3055816472024887","0.3055816472024887","0","1.4696497096776861E-12"
"99","200","6","5","random","true","0.3","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.5084273499958557","0.5084273499958557","1","3.0288393738463784E-32"
"104","200","6","5","random","true","0.3","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.3654790043229502","0.3654790043229502","0","4.747457961647715E-15"
"110","200","6","5","random","true","0.3","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.285716232768424","0.285716232768424","0","9.936617317976778E-14"
"112","200","6","5","random","true","0.3","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.43711790156175545","0.43711790156175545","0","9.282750589355424E-20"
"105","200","6","5","random","true","0.3","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.3562644352227705","0.3562644352227705","0","4.05789368136114E-12"
"106","200","6","5","random","true","0.3","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.3888701886965502","0.3888701886965502","0","1.087986570601294E-17"
"113","200","6","5","random","true","0.3","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.47556263075632704","0.47556263075632704","0","3.261828556913498E-21"
"115","200","6","5","random","true","0.3","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.4228371806338414","0.4228371806338414","0","2.287887223872242E-19"
"109","200","6","5","random","true","0.3","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.30257233144871054","0.30257233144871054","0","4.227959677356935E-12"
"103","200","6","5","random","true","0.3","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.3440729993798813","0.3440729993798813","0","7.898636397282977E-16"
"108","200","6","5","random","true","0.3","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.3318039332301296","0.3318039332301296","0","5.582621413094119E-14"
"114","200","6","5","random","true","0.3","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.5062025221196507","0.5062025221196507","1","5.683154892342707E-20"
"116","200","6","5","random","true","0.3","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.44534178878783576","0.44534178878783576","0","7.247021734257296E-19"
"118","200","6","5","random","true","0.3","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.5139688277345034","0.5139688277345034","1","5.2009917846129255E-18"
"111","200","6","5","random","true","0.3","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.5248364252975126","0.5248364252975126","1","4.7045903357134645E-21"
"117","200","6","5","random","true","0.3","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.39960852474288766","0.39960852474288766","0","1.3299697390796553E-19"
"119","200","6","5","random","true","0.3","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.45033878737859667","0.45033878737859667","0","2.7377469695673544E-20"
"122","200","6","5","random","false","0.1","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.35863836418114103","0.35863836418114103","0","2.2655650382969865E-28"
"120","200","6","5","random","true","0.3","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.4141856916330056","0.4141856916330056","0","9.439209471257038E-19"
"121","200","6","5","random","false","0.1","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.3337896999301686","0.3337896999301686","0","1.646321561392568E-26"
"124","200","6","5","random","false","0.1","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.3850913168284436","0.3850913168284436","0","2.235285470930931E-28"
"125","200","6","5","random","false","0.1","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.41204208345457954","0.41204208345457954","0","4.194741229546866E-30"
"129","200","6","5","random","false","0.1","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.3722836991271458","0.3722836991271458","0","3.0291026939565638E-27"
"127","200","6","5","random","false","0.1","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.34608831373834553","0.34608831373834553","0","7.917628538778388E-26"
"123","200","6","5","random","false","0.1","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.37958813966044114","0.37958813966044114","0","9.434091376065495E-30"
"128","200","6","5","random","false","0.1","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.3776566162425329","0.3776566162425329","0","9.205333482047946E-30"
"126","200","6","5","random","false","0.1","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.2666750830535279","0.2666750830535279","0","8.406990369547539E-21"
"132","200","6","5","random","false","0.1","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.4686598952419","0.4686598952419","0","1.6739602394218562E-30"
"131","200","6","5","random","false","0.1","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.47203178911988275","0.47203178911988275","0","1.6899715886680585E-30"
"133","200","6","5","random","false","0.1","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.499181762187182","0.499181762187182","0","5.1445518098791214E-30"
"130","200","6","5","random","false","0.1","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.34008781175940306","0.34008781175940306","0","9.995183825164431E-26"
"136","200","6","5","random","false","0.1","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.46325769847371506","0.46325769847371506","0","4.981480708417076E-32"
"135","200","6","5","random","false","0.1","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.44575611671850024","0.44575611671850024","0","2.376074937218086E-30"
"134","200","6","5","random","false","0.1","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.4808037457778683","0.4808037457778683","0","1.5484089631276515E-30"
"138","200","6","5","random","false","0.1","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.514857217884046","0.514857217884046","1","2.078068731953906E-30"
"139","200","6","5","random","false","0.1","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.4963950636251679","0.4963950636251679","0","3.4504147928288306E-30"
"137","200","6","5","random","false","0.1","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.49152217916247215","0.49152217916247215","0","1.3684283903146839E-30"
"140","200","6","5","random","false","0.1","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.4384386708298728","0.4384386708298728","0","1.5029144330644579E-30"
"141","200","6","5","random","false","0.1","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.36846637109671593","0.36846637109671593","0","3.083366054674048E-27"
"145","200","6","5","random","false","0.1","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.3056837663324768","0.3056837663324768","0","3.2503322726916957E-23"
"143","200","6","5","random","false","0.1","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.34782452904480154","0.34782452904480154","0","4.578915685176577E-27"
"142","200","6","5","random","false","0.1","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.3363120090004867","0.3363120090004867","0","1.4895315961033283E-26"
"144","200","6","5","random","false","0.1","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.3447650691067581","0.3447650691067581","0","6.255908093218013E-27"
"147","200","6","5","random","false","0.1","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.3180746096887661","0.3180746096887661","0","7.585342107154344E-24"
"146","200","6","5","random","false","0.1","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.33863343395556933","0.33863343395556933","0","2.5037255692866126E-26"
"148","200","6","5","random","false","0.1","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.34930485174525683","0.34930485174525683","0","1.0394112396909025E-26"
"149","200","6","5","random","false","0.1","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.3002228795499481","0.3002228795499481","0","5.453991648174271E-23"
"150","200","6","5","random","false","0.1","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.35930950544356527","0.35930950544356527","0","1.0465463986245998E-27"
"151","200","6","5","random","false","0.1","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.4997716961964801","0.4997716961964801","0","4.9789876453332856E-30"
"156","200","6","5","random","false","0.1","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.4141238328162569","0.4141238328162569","0","3.0913827390353638E-30"
"152","200","6","5","random","false","0.1","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.47966794309231964","0.47966794309231964","0","8.43925081158628E-31"
"154","200","6","5","random","false","0.1","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.43610110982173067","0.43610110982173067","0","4.916444280144301E-32"
"157","200","6","5","random","false","0.1","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.49679655254493943","0.49679655254493943","0","1.0395143967570615E-30"
"160","200","6","5","random","false","0.1","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.5282355917377696","0.5282355917377696","1","3.355260304320211E-30"
"155","200","6","5","random","false","0.1","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.4667217681124452","0.4667217681124452","0","2.428909292757778E-30"
"163","200","6","5","random","false","0.2","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.33628548459283786","0.33628548459283786","0","2.247416246245066E-22"
"158","200","6","5","random","false","0.1","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.5244766565452739","0.5244766565452739","1","5.612210183751997E-30"
"162","200","6","5","random","false","0.2","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.3751132477569529","0.3751132477569529","0","5.931795487202329E-21"
